WORKSHOP ID 🔒,Data Element🔒 ,Source 🔒 ,Form type 🔒 ,Requirement Level🔒 ,[FINAL] FHIR Resource,[FINAL] FHIR Element,Note,Flags 🔒,[FINAL] Cardinality,[FINAL] FHIR Data Type,L2 Context / Remarks 🔒,Definition,Mapping Comments / Notes
1,Medical History,Run Report Form,String,Must Support,Condition,Condition.code[CodableConcept.text],CodableConcept.Text,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
2,Current Medication,Run Report Form,String,Must Support,MedicationStatement,MedicationStatement.medication.medicationCodeableConcept[CodeableConcept.text],,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
3,Known Allergies,Run Report Form,String,Must Support,AllergyIntolerance,AllergyIntolerance.code[CodeableConcept.text],,MUST SUPPORT,0..*,CodeableConcept,"Must support for facility level interoperability, but retain as optional for national level reporting/indicator",,
4,Report form received,Dot-vote Priorities,Boolean,Optional,Task,Task.status,"Resource debate: Task vs DocumentReference

The act of filling up the document, or received to better capture if the information has been transmitted
ex. Received

Note of the valueset required",,1..1,code,,,
5,Report form received: digital or physical form,Dot-vote Priorities,CodableConcept,Optional,DocumentReference,DocumentReference.content.format,"Add to valueset Digital, Physical",,0..*,Coding,,,
6,Cost of care,Dot-vote Priorities,Money,Optional,Claim,Claim.total,Claim total - because the category and definition is not fully defined from Dot-vote. claim total is more non-specific of the business process in mind of the stakeholders,,0..1,Money,,,
7,Facility profile (level of facility etc.),Not from Source,Not from Source,Removed,,,,,,CodeableConcept,"Suggested to be harmonized with #11 (Name of Reporting Health Facility) - if they know the name of the HF, they can already determine the facility profile (for removal)",,
8,Profession,Dot-vote Priorities,String,Optional,Patient,Patient.extension:occupation,"Profession is a social history
In https://build.fhir.org/resourceguide.html - social history is an Observation resource

However in other IGs - Occupation is a separate fhir resource and in NHDR it is a separate fhir resource

https://build.fhir.org/ig/UP-Manila-SILab/PhilHealth-NHDR-IG-Review/branches/main/StructureDefinition-Occupation.html

Following NHDR 
https://build.fhir.org/ig/UP-Manila-SILab/PhilHealth-NHDR-IG-Review/StructureDefinition-Occupation.html
Use the extension format to preserve history of occupation for later use",,0..*,CodeableConcept,Clarified that this pertains to the victim's profession,,
9,Duration of delay,Dot-vote Priorities,Time,Optional,Task,Task.executionPeriod,"Definition:
Duration of Delay - Dot Vote
- Start documenting 
Duration of Process via Task",,0..1,Quantity (Duration),,,
10,Sources of delays,Dot-vote Priorities,String,Must Support,Task,Task.note[Annotation.text],"Definition:
Duration of Delay - Dot Vote
- Start documenting 
Duration of Process via Task",MUST SUPPORT,0..*,Annotation,,,
11,Name of Reporting Health Facility,ONEISS,String,Mandatory,Organization,Organization.name,,,1..1,string,Stakeholder's support Capturing Hospital Facility in the context of Report submission as Required by the System and as supported by ONEISS submission,"Write the name of the Hospital, Center or Clinic who is submitting the report.",
12,Hospital Patient ID No.,ONEISS,String,Must Support,Patient,Patient.identifier,,MUST SUPPORT,0..1,Identifier,#12-14 is the patient's hospital identifier. At least one of the 3 fields should be filled out by the client (any 1 of the 3 is mandatory),"Write the hospital-based issued I.D. or number to uniquely identify the patient.


JAO - Hospital Patient ID #",
13,Hospital Registry No.,ONEISS,String,Must Support,Patient,Patient.identifier,,MUST SUPPORT,0..1,Identifier,#12-14 is the patient's hospital identifier. At least one of the 3 fields should be filled out by the client (any 1 of the 3 is mandatory),"Write the hospital-based issued I.D. or number to uniquely identify the patient.


JAO - Registry number assigned by the health facility to the patient",
14,Hospital Case No.,ONEISS,String,Must Support,Encounter,Encounter.identifier,,MUST SUPPORT,0..1,Identifier,#12-14 is the patient's hospital identifier. At least one of the 3 fields should be filled out by the client (any 1 of the 3 is mandatory),"Write the hospital-based issued number to uniquely identify each case or incidence.


JAO - Primary identifier used by the health facility to identify a patient for each case or incidence",
15,Type of Patient,ONEISS,CodableConcept,Mandatory,Encounter,Encounter.class,,,1..1,Coding,Suppported by Stakeholders and ONEISS requirement,Check the button for the corresponding type of patient the victim is.,
16,Date of Consultation,ONEISS,Date,Mandatory,Encounter,Encounter.period[Period.start],,,1..1,dateTime,Suppported by Stakeholders & SIL PH Team,"Write the date of consult of the patient in the facility in the format mm/dd/yyyy (eg. July 1, 2007 should be entered as 07/01/2007.)",
17,Time of Consultation,ONEISS,Time,Mandatory,Encounter,Encounter.period[Period.start],,,1..1,dateTime,Suppported by Stakeholders & SIL PH Team,Write the time of consult of the patient in military time (eg. 8:00 am should be entered as 0800 hr and 8:00 pm as 2000 hr),
18,Injury Intent,ONEISS,CodableConcept,Optional,Observation,Observation.code,,,0..1,CodeableConcept,,"Check the appropriate box for the intent of injury whether it was caused by an act carried out on purpose by oneself or by another person(s), with the goal of injuring or killing or the injury was unintended / accidental.
Unintentional/Accidental: Injury that is not inflicted by deliberate means (eg. not on purpose). This category includes those injuries described as unintended or “ accidental”, regardless of whether the injury was inflicted by oneself or by another person.
Intentional (self inflicted): Injury resulting from a deliberate violent act inflicted on oneself with the intent to take one’s life or harm oneself (eg. self injury, suicide, suicide attempt).
Intentional (violence): It includes assault (Intentional-violence) which is an act of violence by one or more persons where physical force or any means is used with the intent of causing harm, injury or death to another person and legal interventions caused by police or other legal authorities during law enforcement activities.
VAWC patient: It refers to violence against women and children, like sexual abuse, physical abuse etc.
Undetermined: Injury resulting from an unknown or undetermined intent.",
19,External Cause/s of Injury/ies: Bites/stings,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",Use Observation resource as this section of the form will support the diagnosis later on. Observation resource has Boolean as well for maximizing its use,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Bites/stings: refer to poisonous or non-poisonous bite or sting through the skin. This includes human bite, dog bite, cat bite, snake bite, insect bite, stings from coral or jellyfish or bites and stings by other plants and animals. Note: If this is selected, the specific animal/insect/plant that caused the bite/sting must be indicated.",
20,Specify animal/insect,ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,The specific animal/insect/plant that caused the bite/sting must be indicated.,
21,External Cause/s of Injury/ies: Burns,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Burns: refer to the external causes such as heat, electricity, chemicals, light, radiation, and friction, severe exposure to flames orheat leading to damage in the skin or places deeper in the body. Note: If this is selected, check the appropriate box for the specific agent that caused the injury.",
22,External Cause/s of Injury/ies: Burns - Specify,ONEISS,CodableConcept,Optional,Observation,↑ Observation.value[valueCodeableConcept.code],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Burns: refer to the external causes such as heat, electricity, chemicals, light, radiation, and friction, severe exposure to flames orheat leading to damage in the skin or places deeper in the body. Note: If this is selected, check the appropriate box for the specific agent that caused the injury.",
23,"External Cause/s of Injury/ies: Burns - Others, specify",ONEISS,String,Optional,Observation,↑  Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Burns: refer to the external causes such as heat, electricity, chemicals, light, radiation, and friction, severe exposure to flames orheat leading to damage in the skin or places deeper in the body. Note: If this is selected, check the appropriate box for the specific agent that caused the injury.",
24,External Cause/s of Injury/ies: Chemical/substance,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]","Rationale: All External Causes can be a Diagnosis - Codeable by ICD 10, except for chemical causes
Chemical causes can be an Observation Resource out of all the External Causes",,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Chemical/substances: refer to exposure to chemicals / substances. This includes exposure, inhalation, ingestion and absorption of chemicals, drugs and other substances. However, this does not include harmful effects from normal therapeutic drugs (adverse effects). Note: If this is selected, the specific chemicals/substances that caused the injury must be indicated.",
25,"External Cause/s of Injury/ies: Chemical/substance, specify",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,The specific chemicals/substances that caused the injury must be indicated.,
26,External Cause/s of Injury/ies: Contact with sharp objects,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Contact with sharp object: External causes such as incision, slash, perforation, or puncture by a pointed or sharp instrument, weapon or object (eg. knife, needle).",
27,"External Cause/s of Injury/ies: Contact with sharp objects, specify object",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Contact with sharp object: External causes such as incision, slash, perforation, or puncture by a pointed or sharp instrument, weapon or object (eg. knife, needle).",
28,External Cause/s of Injury/ies: Drowning,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Drowning: refers to suffocation resulting from submersion in water or another liquid. Note: If this is selected, check the appropriate box for the specific type/body of water where the drowning occurred.",
29,External Cause/s of Injury/ies: Drowning - Type/Body of Water,ONEISS,CodableConcept,Optional,Observation,↑ Observation.value[valueCodeableConcept.code],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Drowning: refers to suffocation resulting from submersion in water or another liquid. Note: If this is selected, check the appropriate box for the specific type/body of water where the drowning occurred.",
30,"External Cause/s of Injury/ies: Drowning: Others, specify",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Drowning: refers to suffocation resulting from submersion in water or another liquid. Note: If this is selected, check the appropriate box for the specific type/body of water where the drowning occurred.",
31,External Cause/s of Injury/ies: Exposure to forces of nature,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Exposure to forces of nature: refers to exposure to an event or condition of natural or environmental cause such as earthquake, volcanic eruption and other similar natural calamities/disasters.",
32,External Cause/s of Injury/ies: Fall,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Fall: refers to the abrupt descent of a person due to the force of gravity and strikes a surface at the same or lower level. Note: If this is selected, information as to where the patient fall from/ in/ on into must be indicated (eg. tree, manhole, escalator, stairs).",
33,External Cause/s of Injury/ies: Fall,ONEISS,Boolean,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Fall: refers to the abrupt descent of a person due to the force of gravity and strikes a surface at the same or lower level. Note: If this is selected, information as to where the patient fall from/ in/ on into must be indicated (eg. tree, manhole, escalator, stairs).",
34,External Cause/s of Injury/ies: Firecracker,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Firecracker: refers to external cause due to any type of firecracker. Note: If this is selected, the specific type of firecracker must be indicated.",
35,"External Cause/s of Injury/ies: Firecracker, specify type/s (with libraries)",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Firecracker: refers to external cause due to any type of firecracker. Note: If this is selected, the specific type of firecracker must be indicated.",
36,External Cause/s of Injury/ies: Gunshot,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Gunshot: a penetrating force resulting from a bullet or other projectile shot from a powder-charged gun or pellet gun (eg. Handguns, shotguns, rifles, pellet gun/rifle or pistol. Note: If this is selected, the specific type of weapon used must be indicated.",
37,"External Cause/s of Injury/ies: Gunshot, specify weapon",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Gunshot: a penetrating force resulting from a bullet or other projectile shot from a powder-charged gun or pellet gun (eg. Handguns, shotguns, rifles, pellet gun/rifle or pistol. Note: If this is selected, the specific type of weapon used must be indicated.",
38,External Cause/s of Injury/ies: Hanging/Strangulation,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Hanging/Strangulation: refers to suspension of a person by a cord or anything used for tying. Also includes strangling with the hands, fingers, or other extremities and strangling with some form of cord or cloth such as rope, wire, or shoe laces, either partially or fully circumferencing the neck.",
39,External Cause/s of Injury/ies: Mauling/Assult,Not from Source,Not from Source,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Mauling/Assault: is an act of violence by one or more persons where physical force or any means is used with the intent of causing harm, injury or death to another person. Does not include sexual assault, there is a separate box for sexual assault.",
40,External Cause/s of Injury/ies: Sexual Assault/ Sexual Abuse/ Rape (Alleged),ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Sexual Assault/Sexual Abuse/Rape (Alleged): an assault of a sexual nature on another person, or any sexual act committed without consent.",
41,External Cause/s of Injury/ies: Transport /Vehicular Accident,ONEISS,Boolean,Mandatory,Observation,"Observation.code;
Observation.value[valueBoolean]",,,1..1,CodeableConcept,"Participants identified that this should be Mandatory for Road Safety, however there's a concern because ONEISS is used for other injuries as well","Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Transport / Vehicular Accident: an external cause of injury involving modes of transportation (land, air and water). Note: If this is selected, answers to section 21a are required.",
42,External Cause/s of Injury/ies: Others,ONEISS,Boolean,Optional,Observation,"Observation.code;
Observation.value[valueBoolean]",,,0..1,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Others: refer to other external causes of injury that do not fit in any of the above categories (eg. Operating machinery, foreign body, hit by falling objects, etc.). Note: If this is selected, the specific cause of injury must be indicated.",
43,"External Cause/s of Injury/ies: Others, specify",ONEISS,String,Optional,Observation,↑ Observation.value[valueCodeableConcept.text],,,0..*,CodeableConcept,,"Check the appropriate box for the cause or mechanism of injury that is the way in which the person sustained the injury; how the person was injured or the process by which the injury occurred.

Others: refer to other external causes of injury that do not fit in any of the above categories (eg. Operating machinery, foreign body, hit by falling objects, etc.). Note: If this is selected, the specific cause of injury must be indicated.",
44,"FOR TRANSPORT/VEHICULAR ACCIDENT ONLY (Land, Water, Air)",ONEISS,CodableConcept,Must Support,Encounter,Encounter.reasonCode,"""Relevant for Data element needed for """"Monthly Surveillance Report"""" but not to the extent as system requirement

Crashing from air to water is possible, hence cardinality is 0..*; but Oneiss is best captured as 0..1""

use the valueset recommended since it perfectly and granularly captures LAND, WATER, AIR 
https://hl7.org/fhir/R4/valueset-encounter-reason.html",MUST SUPPORT,0..*,CodeableConcept,"Relevant for Data element needed for ""Monthly Surveillance Report"" but not to the extent as system requirement","This section is only for cases of transport/vehicular accidents. Check the appropriate box to indicate whether the transport/vehicular accident either land, water or air transport accident.",
45,Transferred from another hospital/facility,ONEISS,Boolean,Optional,Observation,"Observation.code(LOINC);
Observation.value[valueBoolean]","Must use LOINC code for Observation.code 
Proposed: 77305-1 Transferred from of Facility

Encounter.partOf - ask John/Michael if this can be used to reference",,0..1,Reference,,"Check the appropriate box to indicate whether the patient was transferred from another facility/hospital.
If “yes” is checked, answer to item no. 24 is required.",
46,Referred by another Hospital /Facility for Laboratory and/or other medical procedures,ONEISS,Boolean,Optional,Observation,"Observation.code(LOINC);
Observation.value[valueBoolean]","Must use LOINC code for Observation.code 
Proposed: LA6624-6 Referred (Note: cannot find this code on SearchLOINC)",,0..1,Reference,,"Check the appropriate box to indicate whether the patient was referred by another hospital/ facility for laboratory and other medical procedures. If “yes” is checked, answer to item no. 24 is required.",
47,Name of Originating Hospital/Physician,ONEISS,String,Optional,Encounter,"Hospital = Encounter.hospitalization.origin(Reference(Organization.name))
Physician = Encounter.participant.individual(Reference(Practitioner.name))","• Name of Originating Hospital - Encounter.hospitalize.origin[Reference(Organization.name(string))]
• Name of Originating Physician - Encounter.participant.individual[Reference(Practitioner.name[HumanName.text])]",,0..1,Reference,,"Enter the name of the originating hospital or physician
Required if answer to item no. 22 or 23 is ""yes""",
48,Initial Impression,ONEISS,String,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""",Enter the initial impression on the patient’s condition.,
49,ICD-10 Code/s: Nature of Injury,ONEISS,CodableConcept,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""","Enter the complete ICD-10 code (s) for the nature of injury following the ICD-10 coding rules and guidelines (Most of the codes should be within S00-T98). If there are multiple injuries, write the code for the multiple injuries first if there is any, unless a special coding rule applies, and followed by the codes for the individual injuries.",ICD10 PH Consider CT
50,ICD-10 Code/s: External cause of Injury:,ONEISS,CodableConcept,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""","Enter the complete ICD-10 code (s) for the external cause of injury following the ICD-10 coding rules and guidelines (Codes should be within V01- Y36, Y85-Y87, and Y89). Place of occurrence and activity codes must also be provided if applicable. (Code (s) entered in Item No. 28 may just be copied here).",ICD10 PH Consider CT
51,Disposition,ONEISS,CodableConcept,Must Support,Encounter,Encounter.hospitalization.dischargeDisposition,Get the Value Set from ONEISS form.,MUST SUPPORT,0..1,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report"" but not to the extent as system requirement","Check the appropriate box to indicate the status (disposition) of the patient at the time of release from ER/OPD or BHS/RHU.
Note: If admitted, section B. IN-PATIENT must be filled up; otherwise there is no need to fill up said section.",
52,"Disposition - Transferred to another facility/hospital, specify",ONEISS,String,Must Support,Encounter,Encounter.hospitalization.destination,,MUST SUPPORT,0..1,Reference,Relevant Data element required for deduplication of reporting from multiple facilities but not to the extent as system requirement,"If “transferred” , write the name of hospital/facility where the injured was transferred.",
53,Outcome,ONEISS,CodableConcept,Must Support,Observation,Observation.code,,MUST SUPPORT,0..1,CodeableConcept,"Relevant Data element required for ""Monthly Surveillance Report"" but not to the extent as system requirement","Check the appropriate box to indicate the outcome of the patient’s condition at the time of release from ER/OPD or BHS/RHU. If the outcome is either improved or unimproved then proceed to the next items, if the outcome is “died”, skip to the item on Comments.",
54,Complete Final Diagnosis,ONEISS,String,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""",Enter the complete final diagnosis of the patient.,
55,Disposition,ONEISS,CodableConcept,Must Support,Encounter,Encounter.hospitalization.dischargeDisposition(CodeableConcept.code),,MUST SUPPORT,0..1,CodeableConcept.coding,"#55-58 were identified as required if the answer in #51 Disposition is ""Admitted""
Relevant Data element required for ""Monthly Surveillance Report"" but not to the extent as system requirement",Check the appropriate box to indicate the status (disposition) of the patient at the time of Discharge.,
56,"Disposition - Others, specify",ONEISS,String,Must Support,Encounter,Encounter.hospitalization.dischargeDisposition(CodeableConcept.text),,MUST SUPPORT,0..1,CodeableConcept.text,"#55-58 were identified as required if the answer in #51 Disposition is ""Admitted""
Relevant Data element required for ""Monthly Surveillance Report"" but not to the extent as system requirement",Check the appropriate box to indicate the status (disposition) of the patient at the time of Discharge.,
57,"Disposition - Transferred to another facility/hospital, specify",ONEISS,String,Must Support,Encounter,Encounter.hospitalization.destination,,MUST SUPPORT,0..1,Reference,"#55-58 were identified as required if the answer in #51 Disposition is ""Admitted"", and this should be Must Support if answer in #55 Disposition is ""Transferred to another facility/hospital""
Relevant Data element needed for deduplication",Check the appropriate box to indicate the status (disposition) of the patient at the time of Discharge.,
58,Outcome,ONEISS,CodableConcept,Must Support,Observation,Observation.code,,MUST SUPPORT,0..1,CodeableConcept,"#55-58 were identified as required if the answer in #51 Disposition is ""Admitted""
Relevant Data element required for ""Monthly Surveillance Report"" but not to the extent as system requirement",Check the appropriate box to indicate the outcome of the patient’s condition at the time of discharge.,
59,ICD-10 Code/s: Nature of Injury,ONEISS,CodableConcept,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""","Enter the complete ICD-10 code (s) for the complete final diagnosis following the ICD- 10 coding rules and guidelines (Most of the codes should be within (S00-T98). If there are multiple injuries, write the code for the multiple injuries first if there is any, unless a special coding rule applies, and followed by the codes for the individual injuries.",ICD10 PH Consider CT
60,ICD-10 Code/s: External cause of Injury,ONEISS,CodableConcept,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,"Relevant Data element needed for ""Monthly Surveillance Report""","Enter the complete ICD-10 code (s) for the external cause of injury following the ICD-10 coding rules and guidelines (Codes should be within V01- Y36, Y85-Y87, Y89). Place of occurrence and activity codes must also be provided if applicable. (Code (s) entered in Item No. 29 may just be copied here).",ICD10 PH Consider CT
61,Comments,ONEISS,String,Optional,Observation,Observation.note(Annotation.text),Remember to referenceEncounter resource in the whole observation bundle,,0..1,Annotation.text,,Enter other comment (s) regarding the case,
